time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-03 00:00:00+00:00,38,22,56,3
2025-09-04 00:00:00+00:00,22,18,28,3
2025-09-05 00:00:00+00:00,25,11,148,5
2025-09-06 00:00:00+00:00,13,10,14,3
2025-09-07 00:00:00+00:00,13,5,3,1
2025-09-08 00:00:00+00:00,14,10,66,3
2025-09-09 00:00:00+00:00,12,11,170,7
2025-09-10 00:00:00+00:00,18,13,49,3
2025-09-11 00:00:00+00:00,26,17,38,7
2025-09-12 00:00:00+00:00,13,10,47,7
2025-09-13 00:00:00+00:00,22,14,53,3
2025-09-14 00:00:00+00:00,13,9,12,5
2025-09-15 00:00:00+00:00,17,10,24,3
2025-09-16 00:00:00+00:00,19,6,46,8
