url_path,views_total,views_unique
/varabyte/kobweb-templates/tree/main/examples/todo,9,8
/varabyte/kobweb-templates,6,6
/varabyte/kobweb-templates/tree/296ec05c792b966b75f2e04e2cf95c1be01506e4,6,2
/varabyte/kobweb-templates/tree/main/examples,5,5
/varabyte/kobweb-templates/tree/main/examples/todo/site,5,5
/varabyte/kobweb-templates/tree/main/examples/todo/site/src,5,5
/varabyte/kobweb-templates/tree/296ec05c792b966b75f2e04e2cf95c1be01506e4/examples,5,4
/varabyte/kobweb-templates/tree/main/examples/chat,5,4
/varabyte/kobweb-templates/blob/main/examples/todo/site/src/jsMain/kotlin/todo/components/widgets/LoadingSpinner.kt,3,2
/varabyte/kobweb-templates/tree/main,3,2
