time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,9,4,1,1
2026-04-30 00:00:00+00:00,15,6,4,2
2026-05-01 00:00:00+00:00,11,5,29,2
2026-05-02 00:00:00+00:00,6,4,1,1
2026-05-03 00:00:00+00:00,3,2,2,2
2026-05-04 00:00:00+00:00,7,6,3,1
2026-05-05 00:00:00+00:00,2,1,1,1
2026-05-06 00:00:00+00:00,1,1,3,2
2026-05-07 00:00:00+00:00,1,1,2,2
2026-05-08 00:00:00+00:00,6,6,26,1
2026-05-09 00:00:00+00:00,10,8,6,2
2026-05-10 00:00:00+00:00,10,5,1,1
2026-05-11 00:00:00+00:00,27,17,11,2
2026-05-12 00:00:00+00:00,15,8,16,3
