time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-26 00:00:00+00:00,13,5,1.0,1.0
2025-07-27 00:00:00+00:00,18,2,96.0,3.0
2025-07-28 00:00:00+00:00,7,6,41.0,4.0
2025-07-29 00:00:00+00:00,24,10,16.0,5.0
2025-07-30 00:00:00+00:00,32,14,63.0,3.0
2025-07-31 00:00:00+00:00,14,8,36.0,4.0
2025-08-01 00:00:00+00:00,2,2,11.0,2.0
2025-08-02 00:00:00+00:00,10,9,35.0,3.0
2025-08-03 00:00:00+00:00,7,4,15.0,2.0
2025-08-04 00:00:00+00:00,6,4,,
2025-08-05 00:00:00+00:00,15,11,2.0,2.0
2025-08-06 00:00:00+00:00,1,1,4.0,1.0
2025-08-07 00:00:00+00:00,20,12,25.0,2.0
2025-08-08 00:00:00+00:00,15,5,5.0,1.0
