time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,9,5,63,4
2025-08-16 00:00:00+00:00,6,5,33,2
2025-08-17 00:00:00+00:00,2,2,8,3
2025-08-18 00:00:00+00:00,16,6,8,2
2025-08-19 00:00:00+00:00,21,6,15,4
2025-08-20 00:00:00+00:00,16,10,1,1
2025-08-21 00:00:00+00:00,37,26,19,6
2025-08-22 00:00:00+00:00,35,24,40,7
2025-08-23 00:00:00+00:00,26,14,42,4
2025-08-24 00:00:00+00:00,37,18,62,5
2025-08-25 00:00:00+00:00,30,16,5,3
2025-08-26 00:00:00+00:00,10,7,39,4
2025-08-27 00:00:00+00:00,38,14,26,7
2025-08-28 00:00:00+00:00,15,12,14,3
