time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-14 00:00:00+00:00,5,4,2,2
2026-01-15 00:00:00+00:00,7,5,9,1
2026-01-16 00:00:00+00:00,8,5,10,1
2026-01-17 00:00:00+00:00,12,3,6,4
2026-01-18 00:00:00+00:00,8,6,22,4
2026-01-19 00:00:00+00:00,4,2,4,2
2026-01-20 00:00:00+00:00,7,6,12,5
2026-01-21 00:00:00+00:00,12,9,9,3
2026-01-22 00:00:00+00:00,8,5,8,3
2026-01-23 00:00:00+00:00,14,7,9,2
2026-01-24 00:00:00+00:00,7,6,6,1
2026-01-25 00:00:00+00:00,18,9,0,0
2026-01-26 00:00:00+00:00,7,4,5,2
2026-01-27 00:00:00+00:00,5,4,9,4
