time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-04 00:00:00+00:00,21,15,1.0,1.0
2025-02-05 00:00:00+00:00,13,8,1.0,1.0
2025-02-06 00:00:00+00:00,6,5,38.0,3.0
2025-02-07 00:00:00+00:00,7,6,193.0,2.0
2025-02-08 00:00:00+00:00,13,10,1.0,1.0
2025-02-09 00:00:00+00:00,22,8,58.0,6.0
2025-02-10 00:00:00+00:00,14,10,9.0,2.0
2025-02-11 00:00:00+00:00,8,4,39.0,2.0
2025-02-12 00:00:00+00:00,5,3,14.0,2.0
2025-02-13 00:00:00+00:00,6,5,2.0,2.0
2025-02-14 00:00:00+00:00,6,3,,
2025-02-15 00:00:00+00:00,18,16,7.0,2.0
2025-02-16 00:00:00+00:00,8,5,37.0,4.0
2025-02-17 00:00:00+00:00,4,4,37.0,3.0
