time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,12,11,170,7
2025-09-10 00:00:00+00:00,18,13,49,3
2025-09-11 00:00:00+00:00,26,17,38,7
2025-09-12 00:00:00+00:00,13,10,47,7
2025-09-13 00:00:00+00:00,22,14,53,3
2025-09-14 00:00:00+00:00,13,9,12,5
2025-09-15 00:00:00+00:00,17,10,24,3
2025-09-16 00:00:00+00:00,21,7,46,8
2025-09-17 00:00:00+00:00,17,10,125,12
2025-09-18 00:00:00+00:00,12,9,83,8
2025-09-19 00:00:00+00:00,19,15,24,6
2025-09-20 00:00:00+00:00,12,7,45,5
2025-09-21 00:00:00+00:00,15,12,3,2
2025-09-22 00:00:00+00:00,16,10,6,1
