url_path,views_total,views_unique
/varabyte/kobweb-templates,16,12
/varabyte/kobweb-templates/tree/main/examples,11,9
/varabyte/kobweb-templates/tree/ee1047ef7c9c2268a3406a1d3d443918c8e61012,10,9
/varabyte/kobweb-templates/tree/main/examples/todo,10,6
/varabyte/kobweb-templates/tree/main/app,7,5
/varabyte/kobweb-templates/tree/main/app/default/site,5,3
/varabyte/kobweb-templates/tree/main/examples/todo/site,5,3
/varabyte/kobweb-templates/blob/main/app/default/site/src/site/pages/Index.kt.ftl,5,1
/varabyte/kobweb-templates/tree/main/app/default,4,4
/varabyte/kobweb-templates/blob/main/app/default/site/src/site/components/widgets/IconButton.kt.ftl,4,3
