time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,15,11,21,5
2025-10-08 00:00:00+00:00,11,9,61,6
2025-10-09 00:00:00+00:00,13,11,42,3
2025-10-10 00:00:00+00:00,14,7,16,6
2025-10-11 00:00:00+00:00,9,8,28,2
2025-10-12 00:00:00+00:00,12,7,4,2
2025-10-13 00:00:00+00:00,19,12,60,7
2025-10-14 00:00:00+00:00,17,7,69,4
2025-10-15 00:00:00+00:00,22,8,3,2
2025-10-16 00:00:00+00:00,5,4,34,4
2025-10-17 00:00:00+00:00,12,6,6,2
2025-10-18 00:00:00+00:00,15,11,74,3
2025-10-19 00:00:00+00:00,7,5,27,5
2025-10-20 00:00:00+00:00,24,12,50,12
