url_path,views_total,views_unique
/varabyte/kobweb-templates/tree/main/examples/todo,8,7
/varabyte/kobweb-templates,7,7
/varabyte/kobweb-templates/tree/296ec05c792b966b75f2e04e2cf95c1be01506e4,6,2
/varabyte/kobweb-templates/tree/main/examples,5,5
/varabyte/kobweb-templates/tree/296ec05c792b966b75f2e04e2cf95c1be01506e4/examples,5,4
/varabyte/kobweb-templates/tree/main/examples/chat,5,4
/varabyte/kobweb-templates/tree/main/examples/todo/site,4,4
/varabyte/kobweb-templates/tree/main/examples/todo/site/src,3,3
/varabyte/kobweb-templates/tree/main,3,2
/varabyte/kobweb-templates/tree/main/app/empty,3,1
