time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-28 00:00:00+00:00,4,3,11,3
2026-01-29 00:00:00+00:00,9,5,1,1
2026-01-30 00:00:00+00:00,7,7,7,5
2026-01-31 00:00:00+00:00,8,5,0,0
2026-02-01 00:00:00+00:00,2,2,19,6
2026-02-02 00:00:00+00:00,6,4,15,5
2026-02-03 00:00:00+00:00,4,4,6,1
2026-02-04 00:00:00+00:00,15,10,1,1
2026-02-05 00:00:00+00:00,7,6,0,0
2026-02-06 00:00:00+00:00,22,13,3,3
2026-02-07 00:00:00+00:00,35,8,8,3
2026-02-08 00:00:00+00:00,10,6,1,1
2026-02-09 00:00:00+00:00,11,8,1,1
2026-02-10 00:00:00+00:00,11,8,13,3
