time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,8.0,3.0,1.0,1.0
2025-12-10 00:00:00+00:00,,,1.0,1.0
2025-12-11 00:00:00+00:00,3.0,3.0,3.0,3.0
2025-12-12 00:00:00+00:00,,,1.0,1.0
2025-12-13 00:00:00+00:00,1.0,1.0,,
2025-12-14 00:00:00+00:00,1.0,1.0,,
2025-12-15 00:00:00+00:00,,,1.0,1.0
2025-12-16 00:00:00+00:00,,,1.0,1.0
2025-12-18 00:00:00+00:00,1.0,1.0,,
2025-12-19 00:00:00+00:00,1.0,1.0,,
2025-12-20 00:00:00+00:00,31.0,19.0,74.0,6.0
2025-12-21 00:00:00+00:00,92.0,40.0,65.0,4.0
2025-12-22 00:00:00+00:00,8.0,6.0,13.0,5.0
