time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-28 00:00:00+00:00,2.0,1.0,94,40
2024-11-29 00:00:00+00:00,8.0,4.0,131,40
2024-11-30 00:00:00+00:00,4.0,3.0,104,51
2024-12-01 00:00:00+00:00,,,112,45
2024-12-02 00:00:00+00:00,3.0,3.0,133,49
2024-12-03 00:00:00+00:00,4.0,4.0,205,63
2024-12-04 00:00:00+00:00,6.0,6.0,564,40
2024-12-05 00:00:00+00:00,2.0,2.0,79,36
2024-12-06 00:00:00+00:00,,,83,36
2024-12-07 00:00:00+00:00,1.0,1.0,83,29
2024-12-08 00:00:00+00:00,,,109,41
2024-12-09 00:00:00+00:00,3.0,3.0,148,52
2024-12-10 00:00:00+00:00,,,146,45
2024-12-11 00:00:00+00:00,1.0,1.0,172,34
