time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-18 00:00:00+00:00,24.0,8.0,230,38
2024-06-19 00:00:00+00:00,10.0,3.0,199,45
2024-06-20 00:00:00+00:00,13.0,7.0,489,49
2024-06-21 00:00:00+00:00,5.0,5.0,201,46
2024-06-22 00:00:00+00:00,5.0,4.0,148,31
2024-06-23 00:00:00+00:00,1.0,1.0,141,33
2024-06-24 00:00:00+00:00,4.0,4.0,271,53
2024-06-25 00:00:00+00:00,,,225,65
2024-06-26 00:00:00+00:00,9.0,4.0,148,51
2024-06-27 00:00:00+00:00,1.0,1.0,189,58
2024-06-28 00:00:00+00:00,1.0,1.0,310,50
2024-06-29 00:00:00+00:00,1.0,1.0,238,40
2024-06-30 00:00:00+00:00,2.0,2.0,326,51
2024-07-01 00:00:00+00:00,4.0,3.0,186,52
