time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,17,11,66,31
2025-10-14 00:00:00+00:00,25,11,80,29
2025-10-15 00:00:00+00:00,23,11,36,17
2025-10-16 00:00:00+00:00,12,10,34,22
2025-10-17 00:00:00+00:00,20,13,55,23
2025-10-18 00:00:00+00:00,16,7,108,27
2025-10-19 00:00:00+00:00,78,8,71,27
2025-10-20 00:00:00+00:00,23,15,55,30
2025-10-21 00:00:00+00:00,16,8,57,30
2025-10-22 00:00:00+00:00,26,10,61,34
2025-10-23 00:00:00+00:00,17,12,89,26
2025-10-24 00:00:00+00:00,12,8,49,19
2025-10-25 00:00:00+00:00,9,6,82,21
2025-10-26 00:00:00+00:00,8,4,16,16
