time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,1,1,6,6
2026-08-30 00:00:00+00:00,1,1,6,4
2026-08-31 00:00:00+00:00,6,5,6,5
2026-09-01 00:00:00+00:00,1,1,5,4
2026-09-02 00:00:00+00:00,2,2,10,8
2026-09-03 00:00:00+00:00,210,4,16,13
2026-09-04 00:00:00+00:00,5,2,8,5
2026-09-05 00:00:00+00:00,5,3,1,1
2026-09-06 00:00:00+00:00,0,0,5,5
2026-09-07 00:00:00+00:00,6,3,7,5
2026-09-08 00:00:00+00:00,0,0,5,4
2026-09-09 00:00:00+00:00,32,28,4,3
2026-09-10 00:00:00+00:00,2,2,11,7
2026-09-11 00:00:00+00:00,5,4,30,22
