time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-18 00:00:00+00:00,3.0,3.0,63,11
2024-09-19 00:00:00+00:00,,,11,5
2024-09-20 00:00:00+00:00,2.0,2.0,35,8
2024-09-21 00:00:00+00:00,4.0,4.0,24,6
2024-09-22 00:00:00+00:00,,,32,5
2024-09-23 00:00:00+00:00,,,29,9
2024-09-24 00:00:00+00:00,1.0,1.0,22,7
2024-09-25 00:00:00+00:00,,,7,5
2024-09-26 00:00:00+00:00,,,34,7
2024-09-27 00:00:00+00:00,1.0,1.0,56,7
2024-09-28 00:00:00+00:00,1.0,1.0,7,3
2024-09-29 00:00:00+00:00,,,44,5
2024-09-30 00:00:00+00:00,1.0,1.0,75,8
2024-10-01 00:00:00+00:00,3.0,3.0,51,8
