time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-29 00:00:00+00:00,,,9,6
2025-10-30 00:00:00+00:00,8.0,4.0,18,7
2025-10-31 00:00:00+00:00,4.0,1.0,19,7
2025-11-01 00:00:00+00:00,,,11,6
2025-11-02 00:00:00+00:00,,,1,1
2025-11-03 00:00:00+00:00,1.0,1.0,4,4
2025-11-04 00:00:00+00:00,1.0,1.0,8,6
2025-11-05 00:00:00+00:00,6.0,3.0,26,4
2025-11-06 00:00:00+00:00,,,3,3
2025-11-07 00:00:00+00:00,,,12,9
2025-11-08 00:00:00+00:00,,,3,3
2025-11-09 00:00:00+00:00,,,7,5
2025-11-10 00:00:00+00:00,1.0,1.0,4,3
2025-11-11 00:00:00+00:00,2.0,1.0,28,6
